세션명,코드,일자,트랙,연사·소속,L축,원 도메인,적용 라인,게이트,교차검증 강도,사진 수
ChatGPT Ads 통한 AI시대 새로운 마케팅 기회 및 전략,D1-1,2026-08-03,Day1-A,OpenAI,L2 도달·미디어,광고 플랫폼,KDT;KDC;OM,🟡변형,5,0
TikTok AI로 만드는 Business Scale-Up,D1-2,2026-08-03,Day1-A,틱톡코리아 조희재,L2 도달·미디어,숏폼 플랫폼,CTS;OM;KDT,🟡변형,4,0
AI가 실행하는 시대 브랜드 콘텐츠는 누가 기획하는가,D1-3,2026-08-03,Day1-A,서유성·이주형·머니그라피·주연,L4 관계·팬덤,광고·콘텐츠,CTS;OM,🟢직접,6,0
AI검색 혁명에서 승리하기 GEO SEO,D1-4,2026-08-03,Day1-A,Similarweb,L1 발견,데이터 솔루션,OM;CTS;KDT,🟢직접,7,0
모두의 AI 잘 쓰는 개인을 넘어 잘 쓰는 조직으로,D1-5,2026-08-03,Day1-A,커머스 마케팅 총괄,L5a 조직·거버넌스,이커머스,전사;CRM;CSM,🟢직접,6,0
AI시대 고객 경험은 어떻게 진화하는가,D1-6,2026-08-03,Day1-A,Appier,L3 전환·커머스,CDP·CRM,CRM;CX;CSM,🟡변형,4,0
AI시대 무엇이 선택 받는가,D1-7,2026-08-03,Day1-A,설빙 이정진·테라로사 김현미,L4 관계·팬덤,F&B·공간,CX;CSM;OM,🟡변형,4,0
AI 네이티브 마케터의 Zero to One,D1-8,2026-08-03,Day1-A,아티스트 IP 콘텐츠 기획,L5a 조직·거버넌스,엔터·IP,전사;CTS;OM,🟢직접,5,0
Attention to Connection NETFLIX의 주목 브랜드로 이어지다,D1-9,2026-08-03,Day1-B,Netflix Korea,L2 도달·미디어,스트리밍·광고 미디어,OM;CTS;KDT,🔵참고,4,0
컬리가 직접 해본 AI 업무 혁신과 GEO 성공과 실패,D1-10,2026-08-03,Day1-B,컬리,L1 발견,이커머스(신선식품),OM;CTS;KDT;전사,🟢직접,7,0
기업 콘텐츠 제작의 새로운 AI 트렌드,D1-11,2026-08-03,Day1-B,힉스필드(Higgsfield),L5b 실무 자동화·역량,AI 콘텐츠 플랫폼,CTS;OM;전사,🟡변형,5,0
제작을 넘어 운영으로 마케팅 전 과정을 잇는 AI 트랜스포메이션,D1-12,2026-08-03,Day1-B,정복진 대표(AI 영상 제작·마케팅 AX),L2 도달·미디어,광고 크리에이티브·커머스 영상,CTS;OM;KDT;KDC,🟢직접,5,0
대표 서비스를 넘어 플랫폼은 어떻게 다음 성장을 만드는가,D1-13,2026-08-03,Day1-B,쏘카 이우철·삼쩜삼 김보경,L5b 실무 자동화·역량,모빌리티·세무 핀테크,전사;KDT;KDC;CRM;OM,🟢직접,6,0
더 많이인가 더 잘인가 AI 이후 실제로 무엇이 좋아졌나,D1-14,2026-08-03,Day1-B,컴투스홀딩스 이교환·엔씨소프트 권세진·NC AI 주영표,L5b 실무 자동화·역량,게임 UA·게임 제작,전사;KDT;CTS;OM,🟢직접,7,0
우리가 AI에게 위임하지 않은 것들 LG AI 365 프로젝트,D1-15,2026-08-03,Day1-B,LG전자 글로벌 브랜드 캠페인,L5a 조직·거버넌스,가전·글로벌 브랜드,전사;CTS;OM,🟢직접,6,0
AI 도입 현황과 조직 내 역할 변화 + 우리는 어떻게 성장하는가,D2-M1,2026-08-04,아침(조찬),모비데이즈 + 더파운더리 송민규,L5a 조직·거버넌스,광고·뷰티,전사;CSM,🟢직접,6,1
AI와 마케팅 전략 한국 시장 소비자 행동 분석,D2-M2,2026-08-04,아침(조찬),크리테오 코리아 대표,L2 도달·미디어,애드테크·커머스,KDT;KDC;OM,🟡변형,5,0
AI에게 발견되는 브랜드의 조건,2F-1,2026-08-04,2F,네이버 민형필,L1 발견,검색 플랫폼,KDT;KDC;OM,🟢직접,7,14
Show Different Show More,2F-2,2026-08-04,2F,Meta 김성욱,L2 도달·미디어,소셜 광고,KDT;KDC;CTS,🟢직접,4,18
여행 플랫폼을 넘어 여행 브랜드가 되는 법,2F-3,2026-08-04,2F,여기어때 강석우,L4 관계·팬덤,여행 플랫폼,OM;CTS;KDT,🟢직접,5,7
채널의 재구성 자사몰과 오픈마켓 그 사이의 AI,2F-4,2026-08-04,2F,남양유업 강희성·하이트진로음료 박상주,L3 전환·커머스,식음료 D2C,KDT;KDC;CRM,🟡변형,4,3
팬덤은 우연이 아니다,2F-5,2026-08-04,2F,스탠리 이도영·크림 양현영,L4 관계·팬덤,리빙·리셀,CTS;OM;CSM,🟢직접,5,4
숨은 60%를 찾는 LG전자의 멀티모달 소셜 리스닝,2F-6,2026-08-04,2F,싱클리 이승곤·LG전자 이도규,L5b 실무 자동화·역량,가전,전사;CX;CTS,🟡변형,3,5
AI 큐레이션 시대 인간의 최종 선택권과 오프라인 체험,2F-7,2026-08-04,2F,에몬스 김민식·알레르망 백현정,L3 전환·커머스,가구·침구,CTS;CX;OM,🟢직접,5,5
